water_source_type,region,district,source_name,nearest_settlement_name,latitude,longitude,permanent,functioning,bh_static_water_level,dw_static_water_level,dam_depth,berkad_depth,other_depth
Dug Well,Awdal,Borama,Fadhi Xun 4,Weeraar,10.2922,43.296,Yes,Yes,,7.0,,,
Spring,Awdal,Borama,Xamar,Weeraarta,10.2484,43.2585,Yes,Yes,,,,,
Dug Well,Awdal,Baki,Qotonka Qardhiile,Qotonka Qardhhiile,10.0489,43.5469,Yes,Yes,,3.7,,,
Dug Well,Awdal,Baki,Sheed Dheer 1,Garbo Dadar,10.2999,43.5209,Yes,Yes,,4.0,,,
Dug Well,Awdal,Lughaye,Xoog Faras/W-033,,10.4879,43.47062,,,,8.0,,,
Dug Well,Awdal,Borama,Camuud 1,Boorame Town,9.9481,43.2335,Yes,Yes,,8.5,,,
Borehole,Awdal,Borama,Gargooray,Gargooray,10.3314,43.0962,No,No,,,,,
Dug Well,Awdal,Baki,Ruqi,,9.9465,43.3469,,Yes,,4.0,,,
Dug Well,Awdal,Baki,Lafo Maroodi 2,Baki,10.0115,43.3901,Yes,,,7.0,,,
Borehole,Awdal,Borama,Afraaga,Afraaga,9.9432,43.076,Yes,Yes,105.0,,,,
Borehole,Awdal,Zeylac,Habas,Habas,10.4259,42.8214,Yes,Yes,30.0,,,,
Borehole,Awdal,Borama,Holhol,Holhol Town,9.9209,43.1329,,Abandoned,,,,,
Dug Well,Awdal,Baki,Sheed Dheerz,Garbo Dadar,10.2998,43.5214,No,No,,,,,
Dug Well,Awdal,Borama,BABOW1,,10.0336,43.335,Yes,Yes,,4.8,,,
